"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 11 16:39:01 EST 2026","Wed Feb 11 16:39:02 EST 2026","441","Surefire suite","Surefire test","com.api.tests.EndpointTest","com.api.tests.EndpointTest","getObjectByIdTest","getObjectByIdTest",""
"passed","Wed Feb 11 16:38:54 EST 2026","Wed Feb 11 16:39:01 EST 2026","6720","Surefire suite","Surefire test","com.api.tests.EndpointTest","com.api.tests.EndpointTest","getAllObjectsTest","Verify login","Validates login with correct credentials"
